group,exp_dir,sub_exp,epoch,clip_style,clip_s_delta_idt,clip_t,content_lpips,one_minus_lpips,clip_content,fid,artfid,eval_type,source,dataset
628_ablation,destructive,D18_kinetic_off/full_eval/epoch_0010,10,0.7303172665437063,0.09039644128070626,0.22926236228148142,0.3410811538133334,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D19_attn_gated_raw/full_eval/epoch_0008,8,0.7298450604279835,0.08992423516498359,0.22899507937828698,0.3380267158933333,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D19_attn_gated_raw/full_eval/epoch_0009,9,0.7282648928960165,0.08834406763301644,0.2288879045844078,0.34022902638666663,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D19_attn_gated_raw/full_eval/epoch_0010,10,0.730276749531428,0.09035592426842802,0.2292509267727534,0.34105634550666664,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D1_color_w20/full_eval/epoch_0010,10,0.7370380113124847,-0.10895177030563354,0.22799542476733528,0.3683109583733334,0.6317,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D1_spectral_ode_off/full_eval/epoch_0008,8,0.7119558617671331,0.07203503650413308,0.22551534799734754,0.3152507359533333,0.6847,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D1_spectral_ode_off/full_eval/epoch_0009,9,0.7139780339399974,0.07405720867699736,0.22609300975998245,0.330374406032,0.6696,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D1_spectral_ode_off/full_eval/epoch_0010,10,0.7135932095845541,0.07367238432155404,0.22669470116496085,0.3303103334,0.6697,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D20_attn_relu2/full_eval/epoch_0008,8,0.7298620069026946,0.08994118163969471,0.22896589571237563,0.338064905,0.6619,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D20_attn_relu2/full_eval/epoch_0009,9,0.7282356245517733,0.08831479928877307,0.22893488456805547,0.34019983804,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D20_attn_relu2/full_eval/epoch_0010,10,0.7304205361207327,0.09049971085773262,0.2292450648546219,0.34104110822666667,0.659,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D21_attn_style_select/full_eval/epoch_0008,8,0.7298128132025401,0.08989198793954008,0.22895998926957448,0.33801303069333327,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D21_attn_style_select/full_eval/epoch_0009,9,0.7282609468301138,0.08834012156711374,0.22887290306886038,0.3402093370666667,0.6598,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D21_attn_style_select/full_eval/epoch_0010,10,0.7303708487351736,0.09045002347217351,0.22924049240350722,0.3410556976533334,0.6589,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D22_attn_sparsemax/full_eval/epoch_0008,8,0.7297804293632507,0.08985960410025072,0.22893469752868018,0.33803188724,0.662,0.0,,,full_eval,remote_cached,
628_ablation,destructive,D22_attn_sparsemax/full_eval/epoch_0009,9,0.7282077860832215,0.08828696082022144,0.22890273918708165,0.3402453389466667,0.6598,0.0,,,full_eval,remote_cached,
