experiment,num_rounds,updated_at,latest_epoch,latest_summary_path,latest_transfer_clip_style,latest_transfer_content_lpips,latest_transfer_fid,latest_transfer_art_fid,latest_transfer_classifier_acc,latest_photo_to_art_clip_style,latest_photo_to_art_fid,latest_photo_to_art_art_fid,latest_photo_to_art_classifier_acc,mean_transfer_clip_style,mean_transfer_content_lpips,mean_transfer_fid,mean_transfer_art_fid,mean_transfer_classifier_acc,mean_photo_to_art_clip_style,mean_photo_to_art_fid,mean_photo_to_art_art_fid,mean_photo_to_art_classifier_acc
inject_I4_body_hires,2,2026-03-05 07:11:03,80,..\inject_I4_body_hires\full_eval\epoch_0080\summary.json,0.6869747967024644,0.49274185673333326,314.76221628012297,487.7703903621201,0.0,0.6742803449432055,314.76221628012297,487.7703903621201,0.0,0.6860223641246557,0.4941435557249999,312.73442734397014,486.0990801685517,0.0,0.675703988224268,312.73442734397014,486.0990801685517,0.0
inject_I5_body_decoder,2,2026-03-05 09:52:32,80,..\inject_I5_body_decoder\full_eval\epoch_0080\summary.json,0.6895086438457171,0.4940567695666667,311.1809403621524,481.4598695472089,0.0,0.6768153876066207,311.1809403621524,481.4598695472089,0.0,0.690046047369639,0.4966752464916667,310.43139011584856,482.1769309194029,0.0,0.6787587826450665,310.43139011584856,482.1769309194029,0.0
inject_I6_hires_only,2,2026-03-05 12:35:30,80,..\inject_I6_hires_only\full_eval\epoch_0080\summary.json,0.6886843848725158,0.4916619622333333,315.0638429726109,487.3138585017581,0.0,0.6790105765064557,315.0638429726109,487.3138585017581,0.0,0.687626878718535,0.4927221324166666,311.704156117443,483.2709851007398,0.0,0.6794249723354975,311.704156117443,483.2709851007398,0.0
inject_I7_decoder_only,1,2026-03-05 13:55:42,40,..\inject_I7_decoder_only\full_eval\epoch_0040\summary.json,0.6860983732839425,0.4845335349666667,310.5566092310902,477.5939938265761,0.0,0.6718971729278564,310.5566092310902,477.5939938265761,0.0,0.6860983732839425,0.4845335349666667,310.5566092310902,477.5939938265761,0.0,0.6718971729278564,310.5566092310902,477.5939938265761,0.0
master_sweep_01_cap_64,1,2026-02-27 12:40:36,100,..\master_sweep_01_cap_64\full_eval\epoch_0100\summary.json,0.6699828543265659,0.43030392565,294.6270999585593,431.4060139480399,0.0,0.6394271306693555,294.6270999585593,431.4060139480399,0.0,0.6699828543265659,0.43030392565,294.6270999585593,431.4060139480399,0.0,0.6394271306693555,294.6270999585593,431.4060139480399,0.0
master_sweep_03_cap_192,1,2026-02-27 20:15:36,100,..\master_sweep_03_cap_192\full_eval\epoch_0100\summary.json,0.6713886881868045,0.4503596424166667,301.2343524640531,447.6161797215591,0.0,0.6511959547797839,301.2343524640531,447.6161797215591,0.0,0.6713886881868045,0.4503596424166667,301.2343524640531,447.6161797215591,0.0,0.6511959547797839,301.2343524640531,447.6161797215591,0.0
master_sweep_05_patch_micro,1,2026-02-28 03:23:11,100,..\master_sweep_05_patch_micro\full_eval\epoch_0100\summary.json,0.6644766282041867,0.41727255331666663,298.9096140725529,429.125369345185,0.0,0.6349446723858516,298.9096140725529,429.125369345185,0.0,0.6644766282041867,0.41727255331666663,298.9096140725529,429.125369345185,0.0,0.6349446723858516,298.9096140725529,429.125369345185,0.0
master_sweep_06_patch_std,1,2026-02-28 05:59:44,100,..\master_sweep_06_patch_std\full_eval\epoch_0100\summary.json,0.668167517632246,0.42146582483333334,295.4899033794053,429.4940794611258,0.0,0.6409305170178414,295.4899033794053,429.4940794611258,0.0,0.668167517632246,0.42146582483333334,295.4899033794053,429.4940794611258,0.0,0.6409305170178414,295.4899033794053,429.4940794611258,0.0
master_sweep_07_patch_xmax,1,2026-02-28 09:10:19,100,..\master_sweep_07_patch_xmax\full_eval\epoch_0100\summary.json,0.6736843087772528,0.4559428502,294.4392605085045,436.28460264039376,0.0,0.6442354753613472,294.4392605085045,436.28460264039376,0.0,0.6736843087772528,0.4559428502,294.4392605085045,436.28460264039376,0.0,0.6442354753613472,294.4392605085045,436.28460264039376,0.0
master_sweep_14_narrow_micro,1,2026-03-01 06:52:47,100,..\master_sweep_14_narrow_micro\full_eval\epoch_0100\summary.json,0.6633765571316084,0.40734103736666666,292.5755928526586,421.7289703685366,0.0,0.6302136580149333,292.5755928526586,421.7289703685366,0.0,0.6633765571316084,0.40734103736666666,292.5755928526586,421.7289703685366,0.0,0.6302136580149333,292.5755928526586,421.7289703685366,0.0
master_sweep_15_split_brain_128,1,2026-03-01 09:21:14,100,..\master_sweep_15_split_brain_128\full_eval\epoch_0100\summary.json,0.6768034092585247,0.47962787835,,,0.0,0.6598403126001359,,,0.0,0.6768034092585247,0.47962787835,,,0.0,0.6598403126001359,,,0.0
no-dict-hf-swd,1,2026-03-07 15:37:33,40,..\no-dict-hf-swd\full_eval\epoch_0040\summary.json,0.7094154608746369,0.5785730451333334,319.5109353370234,512.3343135902185,0.44333333333333325,0.6965402829150359,319.5109353370234,512.3343135902185,0.175,0.7094154608746369,0.5785730451333334,319.5109353370234,512.3343135902185,0.44333333333333325,0.6965402829150359,319.5109353370234,512.3343135902185,0.175
no-tv,1,2026-03-03 14:17:07,60,..\no-tv\full_eval\epoch_0060\summary.json,0.0,0.5016542692666668,312.0231006238373,484.1773435360847,0.0,0.0,312.0231006238373,484.1773435360847,0.0,0.0,0.5016542692666668,312.0231006238373,484.1773435360847,0.0,0.0,312.0231006238373,484.1773435360847,0.0
tv-0.01-patch5-up,1,2026-03-03 15:33:18,30,..\tv-0.01-patch5-up\full_eval\epoch_0030\summary.json,0.0,0.47898716575,307.62388140071187,466.2491631617832,0.0,0.0,307.62388140071187,466.2491631617832,0.0,0.0,0.47898716575,307.62388140071187,466.2491631617832,0.0,0.0,307.62388140071187,466.2491631617832,0.0
