point_id,source,superfamily,family,variant,label,trace_id,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,order,note,label_dx,label_dy,source_summary,style_minus_idt
distinct5_512__LBM__A2_softterm18_sem012,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.6651,0.3385,0.6615,,,,epoch_0001_transfer__epoch_0001_lpips,,,,
distinct5_512__LBM__F_longer_e8,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.6658,0.3397,0.6603,,,,epoch_0001_transfer__epoch_0008_style,,,,
distinct5_512__LBM__K_longer_e8,results_master_extra,LBM misc,LBM,mainline_improvement,mainline_improvement,,0.667,0.3588,0.6412,,,,epoch_0005_transfer__epoch_0007_style,,,,
distinct5_512__LBM__C1_pairing_cache_randompair,results_master_extra,LBM misc,LBM,reviewer_control,reviewer_control,,0.6563,0.4629,0.5371,,,,epoch_0001_transfer__epoch_0002_transfer,,,,
distinct5_512__LBM__C2_projection_count_sem32,results_master_extra,LBM misc,LBM,reviewer_control,reviewer_control,,0.6641,0.3336,0.6664,,,,epoch_0001_transfer__epoch_0002_transfer,,,,
legacy::Reference::No-op transfer,legacy_transfer,Reference,Reference,No-op transfer,No-op transfer,Reference,0.6399208252628644,0.0,1.0,0.0,0.0,0.0,"unchanged source, transfer-only off-diagonal pairs",,,,
legacy::SaMAM::SaMAM 250,legacy_transfer,SaMAM,SaMAM,SaMAM 250,SaMAM 250,SaMAM,0.5384821421901385,0.6031061978948197,0.3968938021051803,53.18766666666667,3191.26,250.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 500,legacy_transfer,SaMAM,SaMAM,SaMAM 500,SaMAM 500,SaMAM,0.5503247191011905,0.5441844119752447,0.4558155880247553,104.75783333333334,6285.47,500.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 750,legacy_transfer,SaMAM,SaMAM,SaMAM 750,SaMAM 750,SaMAM,0.5529796651999156,0.539769857575496,0.460230142424504,157.88383333333334,9473.03,750.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 1000,legacy_transfer,SaMAM,SaMAM,SaMAM 1000,SaMAM 1000,SaMAM,0.548401187111934,0.4639691362529993,0.5360308637470007,208.7205,12523.23,1000.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 1250,legacy_transfer,SaMAM,SaMAM,SaMAM 1250,SaMAM 1250,SaMAM,0.5571828408539296,0.44870330243060985,0.5512966975693901,259.0808333333333,15544.849999999999,1250.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 1500,legacy_transfer,SaMAM,SaMAM,SaMAM 1500,SaMAM 1500,SaMAM,0.5544854444265366,0.4140111594026287,0.5859888405973712,309.50316666666663,18570.19,1500.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 1750,legacy_transfer,SaMAM,SaMAM,SaMAM 1750,SaMAM 1750,SaMAM,0.5491809284687043,0.3795578622693817,0.6204421377306183,360.305,21618.3,1750.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 2000,legacy_transfer,SaMAM,SaMAM,SaMAM 2000,SaMAM 2000,SaMAM,0.5545786788066228,0.3691024965047836,0.6308975034952164,409.5826666666666,24574.96,2000.0,transfer-only from per-image metrics.csv,,,,
legacy::SaMAM::SaMAM 2250,legacy_transfer,SaMAM,SaMAM,SaMAM 2250,SaMAM 2250,SaMAM,0.5522515382866064,0.3604523678372304,0.6395476321627696,458.55033333333336,27513.02,2250.0,transfer-only from per-image metrics.csv,,,,
latent_curve::SaMAM::20,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 20,SaMAM-latent-curve,0.6297173805038135,0.7823172304333333,0.21768276956666666,1.89,113.39999999999999,20.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::110,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 110,SaMAM-latent-curve,0.638833317408959,0.7041577109166667,0.2958422890833333,10.41,624.6,110.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::300,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 300,SaMAM-latent-curve,0.6222609871625899,0.5650466211666666,0.4349533788333334,27.75,1665.0,300.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::600,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 600,SaMAM-latent-curve,0.654094567199548,0.5467907414833334,0.4532092585166666,56.97,3418.2,600.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::1000,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 1000,SaMAM-latent-curve,0.6667274163166682,0.27443615400166665,0.7255638459983333,96.99,5819.4,1000.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::1200,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 1200,SaMAM-latent-curve,0.6549566574891408,0.17385349117999999,0.82614650882,114.41,6864.599999999999,1200.0,manual curve from retained latent convergence plot,,,,
latent_curve::SaMAM::1300,latent_manual_curve,SaMAM-latent,SaMAM-latent,curve,Lat SaMAM 1300,SaMAM-latent-curve,0.6532902393241724,0.21977372080833332,0.7802262791916666,123.01,7380.6,1300.0,manual curve from retained latent convergence plot,,,,
