path,experiment,dataset,method_family,solver,style_tokenizer,num_styles,num_pt,num_images,has_images
SchrodingerBridge\exp\musiq_d1_ll_anchor,musiq_d1_ll_anchor,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,0,N
SchrodingerBridge\exp\musiq_s1_sem_region,musiq_s1_sem_region,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s2_sem_patch,musiq_s2_sem_patch,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s3_sem_band,musiq_s3_sem_band,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s4_sem_xattn,musiq_s4_sem_xattn,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s5_band_xattn,musiq_s5_band_xattn,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s6_patch_xattn,musiq_s6_patch_xattn,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s7_dwt_energy,musiq_s7_dwt_energy,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\musiq_s8_combined,musiq_s8_combined,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\semantic_swd_global_clean5,semantic_swd_global_clean5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,751,Y
SchrodingerBridge\exp\semantic_swd_guided5,semantic_swd_guided5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\semantic_swd_guided_cons5,semantic_swd_guided_cons5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\semantic_swd_guided_cons_probe1,semantic_swd_guided_cons_probe1,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\semantic_swd_ref_guided_cons5,semantic_swd_ref_guided_cons5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r16_k_sweep,sem_r16_k_sweep,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r4_k_sweep,sem_r4_k_sweep,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r8_hier_mechanism,sem_r8_hier_mechanism,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r8_sinkhorn_mechanism,sem_r8_sinkhorn_mechanism,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r8_soft_mechanism,sem_r8_soft_mechanism,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r8_spectral_mechanism,sem_r8_spectral_mechanism,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\sem_r8_strict,sem_r8_strict,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,5,750,Y
SchrodingerBridge\exp\sem_r8_v2,sem_r8_v2,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,10,750,Y
SchrodingerBridge\exp\swd_cm_cons5,swd_cm_cons5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_ctrl_w24,swd_cm_ctrl_w24,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_film_r8,swd_cm_film_r8,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_hh_r8,swd_cm_hh_r8,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,2252,Y
SchrodingerBridge\exp\swd_cm_patch12,swd_cm_patch12,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_semantic12,swd_cm_semantic12,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_sem_b07,swd_cm_sem_b07,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_sem_b10,swd_cm_sem_b10,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_sem_r8,swd_cm_sem_r8,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,5256,Y
SchrodingerBridge\exp\swd_cm_sem_w20,swd_cm_sem_w20,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_softer5,swd_cm_softer5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_specsplit12,swd_cm_specsplit12,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_strongswd5,swd_cm_strongswd5,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_w14,swd_cm_w14,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\swd_cm_w16,swd_cm_w16,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,1,750,Y
SchrodingerBridge\exp\vavae_distinct5_512,vavae_distinct5_512,wikiart_distinct5_samam_512,620_spectral_ode,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\exp\wiki5\full\task4_iter\r1a_latent_baseline,r1a_latent_baseline,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\exp\wiki5\full\task4_iter\r1a_no_dino_minimal,r1a_no_dino_minimal,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,751,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r1b_no_dino_nogn,r1b_no_dino_nogn,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,751,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r1c_no_dino_fixedone,r1c_no_dino_fixedone,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,751,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r2b_with_antiwhiten,r2b_with_antiwhiten,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,751,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r3a_aggressive_antwhiten,r3a_aggressive_antwhiten,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,0,N
SchrodingerBridge\exp\wiki5\full\task4_iter\r3b_endpoint_antiwhiten,r3b_endpoint_antiwhiten,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,751,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r3c_optimal_5ep,r3c_optimal_5ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,5,0,N
SchrodingerBridge\exp\wiki5\full\task4_iter\r4c_velocity_magnitude,r4c_velocity_magnitude,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,0,N
SchrodingerBridge\exp\wiki5\full\task4_iter\r4d1_velmag_high,r4d1_velmag_high,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,936,Y
SchrodingerBridge\exp\wiki5\full\task4_iter\r7_saturation_loss,r7_saturation_loss,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,5,751,Y
SchrodingerBridge\exp\wiki5\smoke\phase3_task2_p3d_contrastive_w01_margin01,phase3_task2_p3d_contrastive_w01_margin01,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,0,N
SchrodingerBridge\exp\wiki5\smoke\phase3_task2_p3e_contrastive_w05_margin005,phase3_task2_p3e_contrastive_w05_margin005,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,0,N
SchrodingerBridge\exp\wiki5\smoke\task1_endpoint_film_baseline,task1_endpoint_film_baseline,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\wiki5\smoke\task1_endpoint_film_no_norm,task1_endpoint_film_no_norm,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\wiki5\smoke\task4_style_strength_baseline_2ep,task4_style_strength_baseline_2ep,task4_style_strength_baseline_2ep,task4,unknown,unknown,?,2,0,N
SchrodingerBridge\exp\wiki5\smoke\task4_style_strength_w05_2ep,task4_style_strength_w05_2ep,task4_style_strength_w05_2ep,task4,unknown,unknown,?,2,0,N
SchrodingerBridge\exp\wiki5\smoke\task4_style_strength_w10_2ep,task4_style_strength_w10_2ep,task4_style_strength_w10_2ep,task4,unknown,unknown,?,2,0,N
exp\72_fewshot\5p1_shot01,5p1_shot01,72_fewshot,620_spectral_ode,solver_i2sb,factorized,6,10,1081,Y
exp\72_fewshot\5p1_shot06,5p1_shot06,72_fewshot,620_spectral_ode,solver_i2sb,factorized,6,10,1081,Y
exp\72_fewshot\5p1_shot10,5p1_shot10,72_fewshot,620_spectral_ode,solver_i2sb,factorized,6,10,1081,Y
exp\72_fewshot\5p1_shot30,5p1_shot30,72_fewshot,620_spectral_ode,solver_i2sb,factorized,6,10,1081,Y
exp\72_fewshot\5p1_shot50,5p1_shot50,72_fewshot,620_spectral_ode,solver_i2sb,factorized,6,10,1081,Y
exp\72_fewshot\5p2_shot01,5p2_shot01,72_fewshot,620_spectral_ode,solver_i2sb,factorized,7,10,1471,Y
exp\72_fewshot\5p2_shot06,5p2_shot06,72_fewshot,620_spectral_ode,solver_i2sb,factorized,7,10,1471,Y
exp\72_fewshot\5p2_shot10,5p2_shot10,72_fewshot,620_spectral_ode,solver_i2sb,factorized,7,10,1471,Y
exp\72_fewshot\5p2_shot30,5p2_shot30,72_fewshot,620_spectral_ode,solver_i2sb,factorized,7,10,1471,Y
exp\72_fewshot\5p2_shot50,5p2_shot50,72_fewshot,620_spectral_ode,solver_i2sb,factorized,7,10,1471,Y
exp\72_fewshot\5p3_shot01,5p3_shot01,72_fewshot,620_spectral_ode,solver_i2sb,factorized,8,10,1921,Y
exp\72_fewshot\5p3_shot06,5p3_shot06,72_fewshot,620_spectral_ode,solver_i2sb,factorized,8,10,1921,Y
exp\72_fewshot\5p3_shot10,5p3_shot10,72_fewshot,620_spectral_ode,solver_i2sb,factorized,8,10,1921,Y
exp\72_fewshot\5p3_shot30,5p3_shot30,72_fewshot,620_spectral_ode,solver_i2sb,factorized,8,10,1921,Y
exp\72_fewshot\5p3_shot50,5p3_shot50,72_fewshot,620_spectral_ode,solver_i2sb,factorized,8,10,1921,Y
SchrodingerBridge\src\exp\620_spatial_bridge\620_swd16_notext_vlen004_b8_local,620_swd16_notext_vlen004_b8_local,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,8,0,N
SchrodingerBridge\src\exp\620_spatial_bridge\620_swd16_t5base_vlen004_b12_local,620_swd16_t5base_vlen004_b12_local,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,3,0,N
SchrodingerBridge\src\exp\620_spatial_bridge\620_swd16_t5base_vlen004_b4_local,620_swd16_t5base_vlen004_b4_local,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,8,0,N
SchrodingerBridge\src\exp\task5_baseline_2ep,task5_baseline_2ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\src\exp\task5_endpoint_a_2ep,task5_endpoint_a_2ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\src\exp\task5_endpoint_b_2ep,task5_endpoint_b_2ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\src\exp\task5_endpoint_c_2ep,task5_endpoint_c_2ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\src\exp\task6_baseline_5ep,task6_baseline_5ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,5,0,N
SchrodingerBridge\src\exp\task6_exp_a_optimal_5ep,task6_exp_a_optimal_5ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,5,0,N
SchrodingerBridge\src\exp\task6_exp_b_two_stage_5ep,task6_exp_b_two_stage_5ep,wikiart_distinct5_samam_512,620_spatial_bridge,solver_i2sb,factorized,5,5,0,N
