src_style,tgt_style,src_slug,depth_mse,edge_iou
Early_Renaissance,Impressionism,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking,0.007685275748372078,0.0
Early_Renaissance,Minimalism,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking,0.006194418761879206,0.00706401766004415
Early_Renaissance,Rococo,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking,0.01613066904246807,0.0
Early_Renaissance,Ukiyo_e,Early_Renaissance__leonardo-da-vinci_studies-of-a-bewalking,0.027648836374282837,0.0
Early_Renaissance,Early_Renaissance,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile,0.011685434728860855,0.030057730923694778
Early_Renaissance,Impressionism,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile,0.01134851947426796,0.05240306337815835
Early_Renaissance,Minimalism,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile,0.12610043585300446,0.05389895352762462
Early_Renaissance,Rococo,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile,0.01063433289527893,0.0816349962684425
Early_Renaissance,Ukiyo_e,Early_Renaissance__leonardo-da-vinci_study-of-the-effect-of-light-on-a-profile-head-facsimile,0.011789120733737946,0.0215182684419764
Early_Renaissance,Early_Renaissance,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440,0.030887454748153687,0.02834199338686821
Early_Renaissance,Impressionism,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440,0.042896147817373276,0.03385845285680696
Early_Renaissance,Minimalism,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440,0.14871472120285034,0.007206094296891085
Early_Renaissance,Rococo,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440,0.05704514682292938,0.029245283018867925
Early_Renaissance,Ukiyo_e,Early_Renaissance__paolo-uccello_scene-adoration-of-the-three-kings-1440,0.03174830973148346,0.0
Early_Renaissance,Early_Renaissance,Early_Renaissance__piero-della-francesca_portrait-of-a-boy,0.08568820357322693,0.2059880239520958
Early_Renaissance,Impressionism,Early_Renaissance__piero-della-francesca_portrait-of-a-boy,0.10831914842128754,0.19042056074766356
Early_Renaissance,Minimalism,Early_Renaissance__piero-della-francesca_portrait-of-a-boy,0.10175153613090515,0.03023758099352052
Early_Renaissance,Rococo,Early_Renaissance__piero-della-francesca_portrait-of-a-boy,0.11147132515907288,0.18203033838973162
Early_Renaissance,Ukiyo_e,Early_Renaissance__piero-della-francesca_portrait-of-a-boy,0.09207544475793839,0.17349397590361446
Early_Renaissance,Early_Renaissance,Early_Renaissance__pietro-perugino_giovanni-colombini,0.007774823345243931,0.14065486049178239
Early_Renaissance,Impressionism,Early_Renaissance__pietro-perugino_giovanni-colombini,0.006186371669173241,0.14546583850931677
Early_Renaissance,Minimalism,Early_Renaissance__pietro-perugino_giovanni-colombini,0.03979231417179108,0.03557599225556631
Early_Renaissance,Rococo,Early_Renaissance__pietro-perugino_giovanni-colombini,0.006766550708562136,0.16614077669902913
Early_Renaissance,Ukiyo_e,Early_Renaissance__pietro-perugino_giovanni-colombini,0.007801527623087168,0.1171976171976172
Early_Renaissance,Early_Renaissance,Early_Renaissance__pisanello_stork-1430,0.028632070869207382,0.2975721784776903
Early_Renaissance,Impressionism,Early_Renaissance__pisanello_stork-1430,0.03258264809846878,0.32193548387096776
Early_Renaissance,Minimalism,Early_Renaissance__pisanello_stork-1430,0.051798079162836075,0.15690573128719074
Early_Renaissance,Rococo,Early_Renaissance__pisanello_stork-1430,0.028328299522399902,0.3134185303514377
Early_Renaissance,Ukiyo_e,Early_Renaissance__pisanello_stork-1430,0.030106134712696075,0.29347826086956524
Early_Renaissance,Early_Renaissance,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1),0.03398153558373451,0.032502550648593496
Early_Renaissance,Impressionism,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1),0.04141131788492203,0.05195729537366548
Early_Renaissance,Minimalism,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1),0.03946331888437271,0.004281074697372306
Early_Renaissance,Rococo,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1),0.04794516786932945,0.05347969882485399
Early_Renaissance,Ukiyo_e,Early_Renaissance__sandro-botticelli_inferno-canto-xviii-1480(1),0.03966455161571503,0.01595547309833024
Early_Renaissance,Early_Renaissance,Early_Renaissance__sandro-botticelli_trinity(1),0.00868429895490408,0.09709835447808064
Early_Renaissance,Impressionism,Early_Renaissance__sandro-botticelli_trinity(1),0.008164777420461178,0.12302800538094656
Early_Renaissance,Minimalism,Early_Renaissance__sandro-botticelli_trinity(1),0.15925151109695435,0.0138442521631644
Early_Renaissance,Rococo,Early_Renaissance__sandro-botticelli_trinity(1),0.008642952889204025,0.11262301056979711
Early_Renaissance,Ukiyo_e,Early_Renaissance__sandro-botticelli_trinity(1),0.008621927350759506,0.08781655537356683
Impressionism,Early_Renaissance,Impressionism__alfred-sisley_riverbank-at-veneux-1881,0.06538307666778564,0.0
Impressionism,Impressionism,Impressionism__alfred-sisley_riverbank-at-veneux-1881,0.06841902434825897,0.0
Impressionism,Minimalism,Impressionism__alfred-sisley_riverbank-at-veneux-1881,0.15370060503482819,0.007887323943661971
Impressionism,Rococo,Impressionism__alfred-sisley_riverbank-at-veneux-1881,0.07563675940036774,0.0
Impressionism,Ukiyo_e,Impressionism__alfred-sisley_riverbank-at-veneux-1881,0.057363416999578476,0.0
Impressionism,Early_Renaissance,Impressionism__alfred-sisley_the-banks-of-the-oise-1878,0.008536565117537975,0.0196078431372549
Impressionism,Impressionism,Impressionism__alfred-sisley_the-banks-of-the-oise-1878,0.008243481628596783,0.016888888888888887
Impressionism,Minimalism,Impressionism__alfred-sisley_the-banks-of-the-oise-1878,0.011648205108940601,0.017391304347826087
Impressionism,Rococo,Impressionism__alfred-sisley_the-banks-of-the-oise-1878,0.007831818424165249,0.03531438415159346
Impressionism,Ukiyo_e,Impressionism__alfred-sisley_the-banks-of-the-oise-1878,0.008313897997140884,0.018683274021352312
Impressionism,Early_Renaissance,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver,0.00683427881449461,0.051765738100460625
Impressionism,Impressionism,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver,0.006096872966736555,0.05977907732293697
Impressionism,Minimalism,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver,0.012463297694921494,0.032237335332547926
Impressionism,Rococo,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver,0.00830147322267294,0.060754115772703135
Impressionism,Ukiyo_e,Impressionism__antoine-blanchard_place-de-la-madeleine-hiver,0.006542442366480827,0.04
Impressionism,Early_Renaissance,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890,0.006914679426699877,0.07194805194805194
Impressionism,Impressionism,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890,0.006631358526647091,0.07321474606857438
Impressionism,Minimalism,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890,0.009317148476839066,0.024083546462063087
Impressionism,Rococo,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890,0.00599391246214509,0.10196870267541645
Impressionism,Ukiyo_e,Impressionism__armand-guillaumin_valley-in-pontgibaud-1890,0.008242400363087654,0.0605112154407929
Impressionism,Early_Renaissance,Impressionism__augustus-john_proven-al-landscape,0.03243875503540039,0.0
Impressionism,Impressionism,Impressionism__augustus-john_proven-al-landscape,0.026450449600815773,0.0
Impressionism,Minimalism,Impressionism__augustus-john_proven-al-landscape,0.01579396240413189,0.0
Impressionism,Rococo,Impressionism__augustus-john_proven-al-landscape,0.021684028208255768,0.0
Impressionism,Ukiyo_e,Impressionism__augustus-john_proven-al-landscape,0.02640325017273426,0.0
Impressionism,Early_Renaissance,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899,0.004755092319101095,0.034740780331373594
Impressionism,Impressionism,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899,0.006122138351202011,0.03856312731114633
Impressionism,Minimalism,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899,0.006538415793329477,0.014507772020725389
Impressionism,Rococo,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899,0.005771304946392775,0.03533755274261603
Impressionism,Ukiyo_e,Impressionism__camille-pissarro_the-gardener-afternoon-sun-eragny-1899,0.005377712193876505,0.020496224379719527
Impressionism,Early_Renaissance,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre,0.004218422807753086,0.061514441842310696
Impressionism,Impressionism,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre,0.003876660019159317,0.06379337171308543
Impressionism,Minimalism,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre,0.0381966158747673,0.023402340234023402
Impressionism,Rococo,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre,0.004422223195433617,0.06726181314452824
Impressionism,Ukiyo_e,Impressionism__childe-hassam_evening-champs-elysees-aka-pres-du-louvre,0.004323422443121672,0.05587301587301587
Impressionism,Early_Renaissance,Impressionism__childe-hassam_september-moonrise,0.010221065953373909,0.003485838779956427
Impressionism,Impressionism,Impressionism__childe-hassam_september-moonrise,0.009143036790192127,0.004357298474945534
