src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,cezanne,103.jpg,Hayao_103_to_cezanne.jpg,0.3008284,0.7911434173583984,0.17885929346084595,0.5108184814453125,0.94338197,N/A,N/A
Hayao,monet,103.jpg,Hayao_103_to_monet.jpg,0.3127071,0.8286173939704895,0.18514403700828552,0.46581196784973145,0.9298098,N/A,N/A
Hayao,photo,103.jpg,Hayao_103_to_photo.jpg,0.27339545,0.844710111618042,0.20993457734584808,0.5037574768066406,0.9604334,N/A,N/A
Hayao,vangogh,103.jpg,Hayao_103_to_vangogh.jpg,0.29482165,0.8082885146141052,0.16731184720993042,0.529364287853241,0.9363246,N/A,N/A
Hayao,Hayao,1040.jpg,Hayao_1040_to_Hayao.jpg,0.0026636927,0.7513244152069092,-0.26488828659057617,0.898827850818634,0.99679726,N/A,N/A
Hayao,cezanne,1040.jpg,Hayao_1040_to_cezanne.jpg,0.33146927,0.7908984422683716,0.22747135162353516,0.4655874967575073,0.8192312,N/A,N/A
Hayao,monet,1040.jpg,Hayao_1040_to_monet.jpg,0.33154362,0.8294094204902649,0.2196383774280548,0.43327611684799194,0.85431856,N/A,N/A
Hayao,photo,1040.jpg,Hayao_1040_to_photo.jpg,0.30680704,0.8721691966056824,0.40049123764038086,0.5919821858406067,0.88932025,N/A,N/A
Hayao,vangogh,1040.jpg,Hayao_1040_to_vangogh.jpg,0.33873206,0.7803072333335876,0.2858935594558716,0.5610981583595276,0.8952891,N/A,N/A
Hayao,Hayao,1041.jpg,Hayao_1041_to_Hayao.jpg,0.0025248853,0.7274523973464966,0.08728258311748505,0.8986954689025879,0.99929047,N/A,N/A
Hayao,cezanne,1041.jpg,Hayao_1041_to_cezanne.jpg,0.3099374,0.7737824320793152,0.31539955735206604,0.5066410899162292,0.9377815,N/A,N/A
Hayao,monet,1041.jpg,Hayao_1041_to_monet.jpg,0.33188984,0.7896158695220947,0.3904689848423004,0.48538708686828613,0.8482899,N/A,N/A
Hayao,photo,1041.jpg,Hayao_1041_to_photo.jpg,0.3278451,0.8192768692970276,0.3243284523487091,0.5136300921440125,0.9273131,N/A,N/A
Hayao,vangogh,1041.jpg,Hayao_1041_to_vangogh.jpg,0.307644,0.7837262749671936,0.3357070982456207,0.5383878350257874,0.92186344,N/A,N/A
Hayao,Hayao,1042.jpg,Hayao_1042_to_Hayao.jpg,0.0034331135,0.7459501028060913,0.006362385582178831,0.86858731508255,0.99894243,N/A,N/A
Hayao,cezanne,1042.jpg,Hayao_1042_to_cezanne.jpg,0.40655097,0.7523465752601624,0.3878454267978668,0.598778486251831,0.81411606,N/A,N/A
Hayao,monet,1042.jpg,Hayao_1042_to_monet.jpg,0.38538834,0.7722636461257935,0.20262688398361206,0.49381929636001587,0.8757404,N/A,N/A
Hayao,photo,1042.jpg,Hayao_1042_to_photo.jpg,0.37742886,0.8056406378746033,0.3506513237953186,0.5594882965087891,0.8818479,N/A,N/A
Hayao,vangogh,1042.jpg,Hayao_1042_to_vangogh.jpg,0.38122764,0.7807674407958984,0.28486233949661255,0.6076908707618713,0.88889235,N/A,N/A
Hayao,Hayao,1044.jpg,Hayao_1044_to_Hayao.jpg,0.0017169486,0.7624680995941162,0.12771940231323242,0.8383523225784302,0.9995928,N/A,N/A
Hayao,cezanne,1044.jpg,Hayao_1044_to_cezanne.jpg,0.3620561,0.7332417964935303,0.38390395045280457,0.6255242824554443,0.92616737,N/A,N/A
Hayao,monet,1044.jpg,Hayao_1044_to_monet.jpg,0.34994027,0.7278482913970947,0.4106377959251404,0.624636709690094,0.85837436,N/A,N/A
Hayao,photo,1044.jpg,Hayao_1044_to_photo.jpg,0.36814278,0.7525926828384399,0.36032289266586304,0.6644917130470276,0.9256095,N/A,N/A
Hayao,vangogh,1044.jpg,Hayao_1044_to_vangogh.jpg,0.3847326,0.7607239484786987,0.5761929750442505,0.7225334644317627,0.77466536,N/A,N/A
Hayao,Hayao,1049.jpg,Hayao_1049_to_Hayao.jpg,0.0017832958,0.7222669720649719,-0.07101189345121384,0.8810887336730957,0.9989428,N/A,N/A
Hayao,cezanne,1049.jpg,Hayao_1049_to_cezanne.jpg,0.3498795,0.7401378750801086,0.3783683180809021,0.5494164824485779,0.9043509,N/A,N/A
Hayao,monet,1049.jpg,Hayao_1049_to_monet.jpg,0.35791254,0.7633582353591919,0.4056642949581146,0.5122725367546082,0.8288117,N/A,N/A
Hayao,photo,1049.jpg,Hayao_1049_to_photo.jpg,0.34500957,0.7783467173576355,0.40674668550491333,0.5568576455116272,0.8683043,N/A,N/A
Hayao,vangogh,1049.jpg,Hayao_1049_to_vangogh.jpg,0.34633034,0.7860367298126221,0.33664530515670776,0.5500350594520569,0.8562621,N/A,N/A
cezanne,Hayao,00057.jpg,cezanne_00057_to_Hayao.jpg,0.39066926,0.7445979118347168,0.2991008758544922,0.5601706504821777,0.89105,N/A,N/A
cezanne,cezanne,00057.jpg,cezanne_00057_to_cezanne.jpg,0.0052117216,0.6858494281768799,-0.01195688359439373,0.8448529839515686,0.9976156,N/A,N/A
cezanne,monet,00057.jpg,cezanne_00057_to_monet.jpg,0.3812123,0.7177853584289551,0.3547162711620331,0.728064239025116,0.8716482,N/A,N/A
cezanne,photo,00057.jpg,cezanne_00057_to_photo.jpg,0.39599246,0.7575694918632507,0.3978191316127777,0.626773476600647,0.89619595,N/A,N/A
cezanne,vangogh,00057.jpg,cezanne_00057_to_vangogh.jpg,0.39365986,0.7457594871520996,0.23211225867271423,0.7327731847763062,0.88562846,N/A,N/A
cezanne,Hayao,00104.jpg,cezanne_00104_to_Hayao.jpg,0.42142,0.7601964473724365,0.43533340096473694,0.5328238606452942,0.782667,N/A,N/A
cezanne,cezanne,00104.jpg,cezanne_00104_to_cezanne.jpg,0.0073741022,0.713155210018158,0.0082523413002491,0.8767764568328857,0.99673533,N/A,N/A
cezanne,monet,00104.jpg,cezanne_00104_to_monet.jpg,0.42084652,0.71183180809021,0.48113563656806946,0.831244707107544,0.818508,N/A,N/A
cezanne,photo,00104.jpg,cezanne_00104_to_photo.jpg,0.41525257,0.7527582049369812,0.5629608631134033,0.7052162289619446,0.80300605,N/A,N/A
cezanne,vangogh,00104.jpg,cezanne_00104_to_vangogh.jpg,0.42600375,0.744782567024231,0.4462605118751526,0.8162419199943542,0.809972,N/A,N/A
cezanne,Hayao,00123.jpg,cezanne_00123_to_Hayao.jpg,0.4280803,0.7546353936195374,0.483500212430954,0.5321527123451233,0.79874396,N/A,N/A
cezanne,cezanne,00123.jpg,cezanne_00123_to_cezanne.jpg,0.004174857,0.6857133507728577,0.025683928281068802,0.8472950458526611,0.9953979,N/A,N/A
cezanne,monet,00123.jpg,cezanne_00123_to_monet.jpg,0.42974406,0.7139028310775757,0.5894899368286133,0.8659720420837402,0.82460743,N/A,N/A
cezanne,photo,00123.jpg,cezanne_00123_to_photo.jpg,0.41111225,0.7373433113098145,0.41871702671051025,0.6261377930641174,0.85879946,N/A,N/A
cezanne,vangogh,00123.jpg,cezanne_00123_to_vangogh.jpg,0.41100094,0.7280290126800537,0.5263955593109131,0.8212594985961914,0.8082425,N/A,N/A
cezanne,Hayao,00204.jpg,cezanne_00204_to_Hayao.jpg,0.42215052,0.7914700508117676,0.5809034109115601,0.6510945558547974,0.8133783,N/A,N/A
cezanne,cezanne,00204.jpg,cezanne_00204_to_cezanne.jpg,0.020473372,0.7163563370704651,0.036279723048210144,0.8623186349868774,0.98142767,N/A,N/A
cezanne,monet,00204.jpg,cezanne_00204_to_monet.jpg,0.44844604,0.7275779843330383,0.2823447585105896,0.7942311763763428,0.8566085,N/A,N/A
cezanne,photo,00204.jpg,cezanne_00204_to_photo.jpg,0.43541095,0.7550272345542908,0.41019511222839355,0.6633578538894653,0.8856425,N/A,N/A
