run,src,target,is_identity,is_photo_to_art,is_transfer,count,clip_style,clip_content,content_lpips,clip_dir,ec
K2_orig_ep8,monet,cezanne,False,False,True,30,0.8005388518174489,0.8312141260000001,0.44350579166666665,0.43870237171649934,0.44549523458222684
K2_weighted_ep8,monet,cezanne,False,False,True,30,0.7852694928646088,0.8289890706666667,0.4350580500000001,0.40865480303764345,0.44363167857444313
K1_orig_ep8,vangogh,photo,False,False,True,30,0.7214213411013285,0.7568858086666668,0.5362938246666668,0.5670118073622386,0.33452753088594106
K1_weighted_ep8,vangogh,photo,False,False,True,30,0.7123306393623352,0.7594751869999999,0.5452865293333334,0.54991135597229,0.323906337286653
K2_orig_ep8,vangogh,photo,False,False,True,30,0.668088972568512,0.8015370796666665,0.5080949616666667,0.44993770569562913,0.32863633166139117
K2_weighted_ep8,vangogh,photo,False,False,True,30,0.701672512292862,0.7985759639999999,0.503162879,0.5097814371188482,0.3486169508924227
K1_orig_ep8,vangogh,Hayao,False,False,True,30,0.6565935552120209,0.7546107593333334,0.509578719,0.5423352102438609,0.32200745244342355
K1_weighted_ep8,vangogh,Hayao,False,False,True,30,0.6511146624883016,0.7574119476666666,0.5171668290000001,0.5329954415559769,0.3143797571738214
K2_orig_ep8,vangogh,Hayao,False,False,True,30,0.6100491225719452,0.8024929706666666,0.46877403366666665,0.45044891933600106,0.32407393464908374
K2_weighted_ep8,vangogh,Hayao,False,False,True,30,0.648730464776357,0.779903975,0.49006592666666665,0.5219783971707026,0.3308097683988342
K1_orig_ep8,vangogh,monet,False,False,True,30,0.7564760009447734,0.8241084316666668,0.44363832233333333,0.37793114309509596,0.42087425700020503
K1_weighted_ep8,vangogh,monet,False,False,True,30,0.7387113869190216,0.80749434,0.47979334966666676,0.362012954801321,0.3842825761522351
K2_orig_ep8,vangogh,monet,False,False,True,30,0.7551143864790598,0.8598107583333334,0.42698891466666666,0.3133229774733384,0.4326889141471802
K2_weighted_ep8,vangogh,monet,False,False,True,30,0.7464380323886871,0.8423170903333334,0.4360100886666666,0.3238255466024081,0.4209835197027235
K1_orig_ep8,vangogh,vangogh,True,False,False,30,0.8279576460520427,0.8610731003333334,0.41341215533333336,0.41062180921435354,0.48566989107295455
K1_weighted_ep8,vangogh,vangogh,True,False,False,30,0.8052507718404134,0.8330905856666665,0.42976814633333327,0.3924862861633301,0.45917964029307307
K2_orig_ep8,vangogh,vangogh,True,False,False,30,0.8296616752942403,0.8816529580000001,0.39141716466666665,0.3714174302915732,0.5049178547179721
K2_weighted_ep8,vangogh,vangogh,True,False,False,30,0.8231398264567057,0.8739246353333334,0.39164451100000003,0.36868395407994586,0.5007616316394443
K1_orig_ep8,vangogh,cezanne,False,False,True,30,0.7665617167949677,0.7917648370000001,0.4575192596666667,0.4169022276997566,0.41584496763812506
K1_weighted_ep8,vangogh,cezanne,False,False,True,30,0.7625244379043579,0.7895457346666668,0.47192520466666665,0.41376959780852,0.4026699364830088
K2_orig_ep8,vangogh,cezanne,False,False,True,30,0.8037280996640523,0.8401757916666667,0.435130562,0.4400472973783811,0.45400143996204123
K2_weighted_ep8,vangogh,cezanne,False,False,True,30,0.7770861049493154,0.8306328763333333,0.43192958466666664,0.3867669535179933,0.44143962638831985
K1_orig_ep8,cezanne,photo,False,False,True,30,0.6924319664637247,0.7797241386666667,0.4762419576666666,0.5566183656454087,0.36266681120406086
K1_weighted_ep8,cezanne,photo,False,False,True,30,0.6779099603494009,0.7948920416666666,0.4699973750000001,0.5287327647209168,0.3592940584988283
K2_orig_ep8,cezanne,photo,False,False,True,30,0.6309942821661632,0.8543565866666667,0.438283309,0.408833775917689,0.35444002021829746
K2_weighted_ep8,cezanne,photo,False,False,True,30,0.6585249702135721,0.8289724770000002,0.43970952133333335,0.48078425923983253,0.36896527077491476
K1_orig_ep8,cezanne,Hayao,False,False,True,30,0.6619066059589386,0.755228967,0.48519542100000007,0.5925167868534724,0.34075255161801027
K1_weighted_ep8,cezanne,Hayao,False,False,True,30,0.662544717391332,0.7469043680000002,0.47653749799999995,0.5957788348197937,0.3468173154525496
K2_orig_ep8,cezanne,Hayao,False,False,True,30,0.594663143157959,0.8420100036666668,0.4354740563333334,0.4697353074947993,0.3357027720550328
K2_weighted_ep8,cezanne,Hayao,False,False,True,30,0.6544128437836965,0.7796241383333332,0.4467395150000001,0.5742497513691585,0.3620607673419971
K1_orig_ep8,cezanne,monet,False,False,True,30,0.7657278100649516,0.8303311073333332,0.4234748016666667,0.39314215381940204,0.4414613775670452
K1_weighted_ep8,cezanne,monet,False,False,True,30,0.7658213019371033,0.824111999,0.4287495876666666,0.4014836599429448,0.4374757345052205
K2_orig_ep8,cezanne,monet,False,False,True,30,0.7623016357421875,0.8893773433333333,0.39003620266666666,0.2797320739676555,0.46497640045071614
K2_weighted_ep8,cezanne,monet,False,False,True,30,0.7678518732388814,0.8571444636666666,0.3934116893333333,0.35448202391465505,0.4657699706302086
K1_orig_ep8,cezanne,vangogh,False,False,True,30,0.7965513348579407,0.8416876553333335,0.4386381086666667,0.4301443750659625,0.4471535638799449
K1_weighted_ep8,cezanne,vangogh,False,False,True,30,0.795043671131134,0.8286044159999998,0.43734169566666664,0.4408663307627042,0.4473379238695922
K2_orig_ep8,cezanne,vangogh,False,False,True,30,0.8046009600162506,0.8965740510000001,0.39903860666666663,0.36681366885701816,0.48353411400870355
K2_weighted_ep8,cezanne,vangogh,False,False,True,30,0.7870481391747792,0.8610622293333333,0.4029641350000001,0.3714451253414154,0.4698959665688546
K1_orig_ep8,cezanne,cezanne,True,False,False,30,0.7980946977933248,0.7968483896666668,0.429128805,0.436374107003212,0.4556092738524392
K1_weighted_ep8,cezanne,cezanne,True,False,False,30,0.791568378607432,0.7997143633333333,0.4261290883333333,0.41301732659339907,0.4542580670779522
K2_orig_ep8,cezanne,cezanne,True,False,False,30,0.8295082807540893,0.8661984356666665,0.38918651866666665,0.4101138984163602,0.5066748407622333
K2_weighted_ep8,cezanne,cezanne,True,False,False,30,0.8057702879110972,0.8405245533333333,0.38669177133333327,0.379882142941157,0.494185547990985
