src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_style,clip_content,pred_style,class_correct
monet,photo,00789.jpg,monet_00789_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00776.jpg,monet_00776_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00446.jpg,monet_00446_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00557.jpg,monet_00557_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01151.jpg,monet_01151_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-11-20 12_03_52.jpg,photo_2015-11-20 12_03_52_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-11-16 09_02_06.jpg,photo_2015-11-16 09_02_06_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-08-23 16_15_36.jpg,photo_2015-08-23 16_15_36_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-03-01 07_26_03.jpg,photo_2015-03-01 07_26_03_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2014-05-19 12_26_07.jpg,photo_2014-05-19 12_26_07_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2016-07-28 18_33_05.jpg,photo_2016-07-28 18_33_05_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-11-24 12_12_37.jpg,photo_2015-11-24 12_12_37_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-01-07 13_51_57.jpg,photo_2015-01-07 13_51_57_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2016-01-02 01_14_14.jpg,photo_2016-01-02 01_14_14_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,photo,2015-07-15 21_07_13.jpg,photo_2015-07-15 21_07_13_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-01-17 13_00_04.jpg,photo_2016-01-17 13_00_04_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-10-07 21_28_09.jpg,photo_2015-10-07 21_28_09_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-03-07 14_38_57.jpg,photo_2015-03-07 14_38_57_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2014-04-12 05_09_16.jpg,photo_2014-04-12 05_09_16_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-05-13 13_51_03.jpg,photo_2016-05-13 13_51_03_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-04-14 15_20_23.jpg,photo_2016-04-14 15_20_23_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-02-22 15_25_59.jpg,photo_2015-02-22 15_25_59_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-11-16 11_26_24.jpg,photo_2015-11-16 11_26_24_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-03-19 09_19_26.jpg,photo_2016-03-19 09_19_26_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2013-12-09 01_12_14.jpg,photo_2013-12-09 01_12_14_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-07-22 09_41_37.jpg,photo_2016-07-22 09_41_37_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2015-07-29 18_36_07.jpg,photo_2015-07-29 18_36_07_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-02-20 01_09_08.jpg,photo_2016-02-20 01_09_08_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
photo,monet,2016-08-29 16_18_55.jpg,photo_2016-08-29 16_18_55_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
