dataset,scope,method,series,label,step,clip_style,content_lpips,one_minus_lpips,source,point_kind
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 500,500,0.5629966173171997,0.5424447286427021,0.4575552713572979,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 750,750,0.5657316401004792,0.5359654448231062,0.4640345551768938,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 1000,1000,0.5659095385869344,0.460542116244634,0.5394578837553661,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 1250,1250,0.5780386782089869,0.4429448606769244,0.5570551393230756,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 1500,1500,0.5805252346197765,0.4128264354666074,0.5871735645333926,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 1750,1750,0.5776164135138194,0.3772438140213489,0.622756185978651,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 2000,2000,0.5833460243542989,0.3621530055602391,0.6378469944397609,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,full,SaMAM,SaMAM curve,SaMAM 2250,2250,0.5810966821114222,0.3538204092184702,0.6461795907815298,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 250,250,0.5384821421901385,0.6031061978948197,0.3968938021051803,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 500,500,0.5503247191011905,0.5441844119752447,0.4558155880247553,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 750,750,0.5529796651999156,0.539769857575496,0.460230142424504,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 1000,1000,0.548401187111934,0.4639691362529993,0.5360308637470007,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 1250,1250,0.5571828408539296,0.4487033024306098,0.5512966975693901,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 1500,1500,0.5544854444265366,0.4140111594026287,0.5859888405973712,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 1750,1750,0.5491809284687043,0.3795578622693817,0.6204421377306183,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 2000,2000,0.5545786788066228,0.3691024965047836,0.6308975034952164,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
distinct5_512,transfer,SaMAM,SaMAM curve,SaMAM 2250,2250,0.5522515382866064,0.3604523678372304,0.6395476321627696,see distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv,
legacy256_overfit50,full,LANCET,LANCET reps,S-add e8,0,0.7167235833803812,0.4615265375866667,0.5384734624133334,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,rep
legacy256_overfit50,transfer,LANCET,LANCET reps,S-add e8,0,0.6925371631979942,0.4711549257833333,0.5288450742166667,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0008\summary.json,rep
legacy256_overfit50,full,LANCET,LANCET reps,K1 original e7,0,0.7161144725879032,0.4514179485999999,0.5485820514,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,rep
legacy256_overfit50,transfer,LANCET,LANCET reps,K1 original e7,0,0.6910778415699801,0.4608877823166667,0.5391122176833333,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0007\summary.json,rep
legacy256_overfit50,full,LANCET,LANCET reps,steps_12,0,0.716167081952095,0.45140630964,0.5485936903599999,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_12\summary.json,rep
legacy256_overfit50,transfer,LANCET,LANCET reps,steps_12,0,0.6910850862165293,0.4608834577333334,0.5391165422666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_12\summary.json,rep
wikiart512_5style,full,LANCET,LANCET reps,local WSL hist b32 e8,0,0.7922978092034658,0.3550378331343333,0.6449621668656667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,rep
wikiart512_5style,transfer,LANCET,LANCET reps,local WSL hist b32 e8,0,0.7852639506260554,0.3557362271596988,0.6442637728403011,G:\GitHub\Latent_Style\SchrodingerBridge\exp\local_wsl_wikiart512_hist_b32_e8\full_eval_epoch_0008_b2_opt_nocls\summary.json,rep
wikiart512_5style,full,LANCET,LANCET reps,from-scratch e8,0,0.7739746244748433,0.3940862842533334,0.6059137157466665,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_e8_generate750\summary.json,rep
wikiart512_5style,transfer,LANCET,LANCET reps,from-scratch e8,0,0.7680248100558917,0.3942982320333333,0.6057017679666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\timing_20260602\lancet_from_scratch_e8_generate750\summary.json,rep
distinct5_512,full,LANCET,LANCET reps,F e1,0,0.696914507508278,0.31864464036,0.6813553596399999,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,transfer,LANCET,LANCET reps,F e1,0,0.6643604030708471,0.3245282069166667,0.6754717930833334,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,full,LANCET,LANCET reps,K e1,0,0.7009949656327565,0.3622938977466666,0.6377061022533334,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,transfer,LANCET,LANCET reps,K e1,0,0.6711669415235519,0.3722808781833334,0.6277191218166667,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,full,LANCET,LANCET reps,H e1,0,0.6973625582059225,0.32133288292,0.67866711708,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,transfer,LANCET,LANCET reps,H e1,0,0.6652551526824633,0.3281051473833333,0.6718948526166666,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,full,LANCET,LANCET reps,H e2,0,0.6993825696706771,0.34840661536,0.6515933846399999,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
distinct5_512,transfer,LANCET,LANCET reps,H e2,0,0.6683948844174543,0.3561050486333333,0.6438949513666667,G:\GitHub\Latent_Style\SchrodingerBridge\docs\experiments\distinct5_512_20260602\tables\clip_style_vs_1lpips_full_transfer_points.csv,rep
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0020,0,0.7369167456626893,0.84510209572,0.15489790428000005,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0020\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0040,0,0.7256811312039693,0.6890679333466666,0.3109320666533334,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\omf_ablation_matrix\artifacts\01_gold_no_skip\full_eval\epoch_0040\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0007,0,0.7225049327214559,0.6324947712266666,0.36750522877333336,G:\GitHub\Latent_Style\SchrodingerBridge\exp\ablation_destructive_7epoch\D2_no_kinetic\full_eval\epoch_0007\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,step_1p5,0,0.7161965129375457,0.45140957192,0.54859042808,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\step_size_sweep_epoch7\step_1p5\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,step_1p25,0,0.7161198446353276,0.4513916788266666,0.5486083211733335,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\step_size_sweep_epoch7\step_1p25\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0006,0,0.710129228870074,0.4211214111866667,0.5788785888133333,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\lambda_grid\eval\kin_2p0__swd_30p0\epoch_0006\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0007,0,0.7065053783655167,0.40887305488,0.5911269451200001,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r11_photo_target_some\full_eval\epoch_0007\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0005,0,0.7039459764560064,0.3965575995333333,0.6034424004666668,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r00_balanced_default\full_eval\epoch_0005\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0004,0,0.7009483207861582,0.3829034392533333,0.6170965607466667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r00_balanced_default\full_eval\epoch_0004\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0006,0,0.69499347670873,0.3643656181466667,0.6356343818533333,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\lambda_grid\eval\kin_2p0__swd_10p0\epoch_0006\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0007,0,0.6891867107947668,0.3367502553786667,0.6632497446213332,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep\eval_results\CK_05\epoch_0007\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0007,0,0.6775872939427694,0.3284246148133333,0.6715753851866667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep\eval_results\TGK_10\epoch_0007\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,epoch_0010,0,0.6720274108250937,0.3159436600666667,0.6840563399333333,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\high_tension_phase_space_sweep\full_eval\g1_high_tension_base\epoch_0010\summary.json,cloud
legacy256_overfit50,full,LANCET,LANCET cloud,o20a,0,0.667257201631864,0.2962070162519999,0.7037929837480001,G:\GitHub\Latent_Style\SchrodingerBridge\exp\runs\o20a\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0020,0,0.7363001481691995,0.8528383468666666,0.1471616531333334,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\06_anchor_skip_only\epoch_0020\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0060,0,0.7185999899109204,0.6875911733166666,0.31240882668333336,G:\GitHub\Latent_Style\SchrodingerBridge\exp\configs\experiments_root\full_eval\07_anchor_hybrid_all\epoch_0060\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0020,0,0.7058557126422723,0.6049360590333334,0.39506394096666664,G:\GitHub\Latent_Style\SchrodingerBridge\exp\legacy\artifacts_omf_monge_e20\full_eval\epoch_0020\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0006,0,0.6933529674013456,0.4823839584833332,0.5176160415166668,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\lambda_grid\eval\kin_1p0__swd_30p0\epoch_0006\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,steps_16,0,0.691046203424533,0.4608741979,0.5391258021,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\step_count_sweep\steps_16\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0006,0,0.6892414863904317,0.45929706635,0.54070293365,G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\full_eval\epoch_0006\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0005,0,0.6834619138638177,0.4473372625333334,0.5526627374666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\review_additional_experiments\review_additional_experiments\lambda_grid\eval\kin_0p5__swd_10p0\epoch_0005\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0008,0,0.6782780051728089,0.4225991090333333,0.5774008909666667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r00_balanced_default\full_eval\epoch_0008\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0006,0,0.6765361975133419,0.4084488111333334,0.5915511888666666,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r11_photo_target_some\full_eval\epoch_0006\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0003,0,0.6658062741160393,0.3860348640833333,0.6139651359166667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\weight_sweep_40\K2_r00_balanced_default\full_eval\epoch_0003\summary.json,cloud
legacy256_overfit50,transfer,LANCET,LANCET cloud,epoch_0007,0,0.6596286865572136,0.3567220363166666,0.6432779636833335,G:\GitHub\Latent_Style\SchrodingerBridge\exp\kinetic_sweep\eval_results\PK_null_hiSWD\epoch_0007\summary.json,cloud
