"remote_root","exp_dir","source_file_count","total_hit_count","master_log_hit_count","experiment_doc_hit_count","review_doc_hit_count","paper_hit_count","hit_files"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","moment_sweep_spectral_full","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","orth12","199","3","0","3","0","0","docs\experiments\2026-06-03-exp-surface-classification.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_content_spatial_head_c120_g050_b020_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_content_spatial_head_c120_g050_b020_120b_b80_smoke_b16_2b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_content_spatial_head_c120_g050_b020_pc040_bound050_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pair_relative_geometry_release_probe","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_c120_g050_b020_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_c120_g050_b020_120b_b80_smoke_b16_2b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_geomstat_w005_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_geomstat_w005_smoke_b16_2b","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pairrel_signed_spatial_head_geomstat_w020_120b_b80","199","0","0","0","0","0",""
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","pareto_probe_4","199","4","0","4","0","0","docs\experiments\2026-05-11-baseline-reproduction-lab-notes.md;docs\experiments\2026-05-11-baseline-reproduction-progress.md;docs\experiments\comparison_20260602\lancet_history_registry.csv;docs\experiments\comparison_20260602\lancet_history_registry.json"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","phase1_diagnostic_probes","199","1","0","1","0","0","docs\experiments\2026-05-16-phase1-diagnostic-launcher.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","physical_loss_tree","199","2","0","1","0","0","docs\experiments\2026-05-20-256-diffeomorphic-tangent-progress.md;docs\presentations\2026-05-21-model-modules-losses-and-results.md"
"I:\Github\Latent_Style_TokenizerClean\SchrodingerBridge","representation_probes","199","0","0","0","0","0",""
