run,rel_path,family,has_full_eval,latest_epoch,latest_transfer_clip_style,best_transfer_clip_style,best_transfer_clip_style_epoch,latest_photo_to_art_clip_style,best_photo_to_art_clip_style,latest_transfer_classifier_acc,best_transfer_classifier_acc,latest_transfer_content_lpips,latest_classification_accuracy,latest_offdiag_clip_style_mean,matrix_style_count,matrix_pair_count,matrix_offdiag_count,matrix_complete_square,matrix_eval_count_mean,matrix_eval_count_min,matrix_eval_count_max,history_rounds,train_csv_count,latest_train_epoch,latest_train_loss,latest_train_lr,checkpoint_count,snapshot_count,latest_snapshot,latest_snapshot_model_sha1,latest_snapshot_losses_sha1,latest_snapshot_trainer_sha1,snapshot_model_hash_count,snapshot_losses_hash_count,snapshot_trainer_hash_count,model__use_decoder_spatial_inject,model__use_delta_highpass_bias,model__use_style_delta_gate,model__use_decoder_adagn,model__use_style_spatial_highpass,model__normalize_style_spatial_maps,model__use_output_style_affine,model__use_style_spatial_blur,model__style_ref_gain,model__style_spatial_pre_gain_16,model__style_spatial_dec_gain_32,model__style_texture_gain,model__style_delta_lowfreq_gain,model__highpass_last_step_scale,model__style_gate_floor,model__style_texture_mode,model__style_strength_step_curve,loss__w_distill,loss__w_code,loss__w_struct,loss__w_edge,loss__w_cycle,loss__w_stroke_gram,loss__w_color_moment,loss__w_style_spatial_tv,loss__w_nce,loss__w_push,loss__w_delta_tv,loss__w_semigroup,loss__distill_low_only,loss__distill_cross_domain_only,loss__train_num_steps_min,loss__train_num_steps_max,loss__train_style_strength_min,loss__train_style_strength_max,loss__teacher_interval_steps,loss__stroke_interval_steps,loss__semigroup_interval_steps
50-no-distill,50-no-distill,other,True,40,0.44147848069667817,0.44147848069667817,40,0.4736813515424728,0.4736813515424728,0.08,0.08,0.0,0.495,0.44147848069667817,2,4,2,True,50.0,50.0,50.0,0,2,40,42.803907775878905,0.0001371801024233027,4,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adacut_overfit50,adacut_overfit50,adacut,True,100,0.44118608415126803,0.44118608415126803,100,0.4730967491865158,0.4730967491865158,0.1,0.1,0.0,0.5,0.44118608415126803,2,4,2,True,50.0,50.0,50.0,0,1,100,0.01428769649937749,1.0046876765255499e-05,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overfit50-v5-mse-sharp,overfit50-v5-mse-sharp,overfit50,True,40,0.4410412234067917,0.4410412234067917,40,0.47419990062713624,0.4751106590032578,0.08,0.08,0.24178008035999998,0.52,0.4410412234067917,2,4,2,True,50.0,50.0,50.0,2,1,50,0.8588861846923828,2.532629604518476e-05,2,1,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\overfit50-v5-mse-sharp\src_snapshot_20260210_223503,eeb860c75f7361d4aa821a9dcea787e9ae5dff1f,c86ed9405d3e3c62b06875ac6ffe9da691bff273,fe8482171546fd859c00a93a6308ae0910d193a5,1,1,1,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,8.0,4.0,0.75,0.25,8.0,,,,3.5,1.0,,,,,,,,,,,
full_250_strong-style,experiments/full_250_strong-style,full_250,True,250,0.0,0.0,250,0.0,0.0,0.28,0.28,0.0,0.64,0.0,2,2,1,False,50.0,50.0,50.0,0,4,250,8.239717314320226,5.00769819012793e-06,5,4,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\experiments\full_250_strong-style\src_snapshot_20260210_014354,328ff7968c5691af005f1ba9014c221dd16ce5b3,041d2d549741d89f617d2b569a847f1096205915,b43284e63fb9e984930b020fc341c2cd042618af,1,1,1,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,10.0,4.0,3.0,,3.0,,,,2.0,1.0,,,,,,,,,,,
full_250_strong-style,full_250_strong-style,full_250,True,250,0.0,0.0,250,0.0,0.0,0.46,0.46,0.0,0.6,0.0,2,2,1,False,50.0,50.0,50.0,0,1,250,7.6880537463772685,5.00769819012793e-06,5,1,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\full_250_strong-style\src_snapshot_20260210_141451,eeb860c75f7361d4aa821a9dcea787e9ae5dff1f,6f6c13a984ba69eff973fb423b00e6203525ca1c,b127efc44bf4e85ba1101f9d39a75abdeb554836,1,1,1,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,10.0,4.0,1.0,,4.0,,,,2.5,1.0,,,,,,,,,,,
baseline_50e,ablation50_repro_cwdfix/baseline_50e,other,True,,,,,,,,,,,,0,0,0,False,,,,0,2,,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adacut,adacut,adacut,True,,,,,,,,,,,,0,0,0,False,,,,0,2,33,6.801885187317053,9.909347735729114e-05,3,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adacut_overfit,adacut_overfit,adacut,False,,,,,,,,,,,,0,0,0,False,,,,0,1,10,5.655682861804962,0.0001962279001393096,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adacut_overfit0,adacut_overfit0,adacut,True,,,,,,,,,,,,0,0,0,False,,,,0,4,,,,0,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
main-style-distill-struct-v1,experiments/main-style-distill-struct-v1,experiments_misc,True,,,,,,,,,,,,0,0,0,False,,,,0,1,7,6.965157301195206,0.00019989453812138713,0,1,G:\GitHub\Latent_Style\Cycle-NCE\experiments-cycle\experiments\main-style-distill-struct-v1\src_snapshot_20260210_004525,328ff7968c5691af005f1ba9014c221dd16ce5b3,041d2d549741d89f617d2b569a847f1096205915,b43284e63fb9e984930b020fc341c2cd042618af,1,1,1,True,True,True,True,False,True,True,,1.0,0.4,0.25,0.35,0.35,,0.7,,,10.0,4.0,3.0,,3.0,,,,2.0,1.0,,,,,,,,,,,
