index,name,config_path,run_dir,eval_dir,batch_size,eval_batch_size,num_epochs,save_interval,skip_routing_mode,w_kinetic,w_cycle,terminal_swd_weight,w_color,swd_use_high_freq,w_low_freq
82,S-norm_K-1_C-5_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-1_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-20_Col-0/full_eval,32,6,3,1,normalized,1.0,5.0,20.0,0.0,False,0.0
83,S-norm_K-1_C-5_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-1_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-1_C-5_W-20_Col-15/full_eval,32,6,3,1,normalized,1.0,5.0,20.0,15.0,False,0.0
84,S-norm_K-2_C-0_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-10_Col-0/full_eval,32,6,3,1,normalized,2.0,0.0,10.0,0.0,False,0.0
85,S-norm_K-2_C-0_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-10_Col-15/full_eval,32,6,3,1,normalized,2.0,0.0,10.0,15.0,False,0.0
86,S-norm_K-2_C-0_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-20_Col-0/full_eval,32,6,3,1,normalized,2.0,0.0,20.0,0.0,False,0.0
87,S-norm_K-2_C-0_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-0_W-20_Col-15/full_eval,32,6,3,1,normalized,2.0,0.0,20.0,15.0,False,0.0
88,S-norm_K-2_C-2_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-10_Col-0/full_eval,32,6,3,1,normalized,2.0,2.0,10.0,0.0,False,0.0
89,S-norm_K-2_C-2_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-10_Col-15/full_eval,32,6,3,1,normalized,2.0,2.0,10.0,15.0,False,0.0
90,S-norm_K-2_C-2_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-20_Col-0/full_eval,32,6,3,1,normalized,2.0,2.0,20.0,0.0,False,0.0
91,S-norm_K-2_C-2_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-2_W-20_Col-15/full_eval,32,6,3,1,normalized,2.0,2.0,20.0,15.0,False,0.0
92,S-norm_K-2_C-5_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-10_Col-0/full_eval,32,6,3,1,normalized,2.0,5.0,10.0,0.0,False,0.0
93,S-norm_K-2_C-5_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-10_Col-15/full_eval,32,6,3,1,normalized,2.0,5.0,10.0,15.0,False,0.0
94,S-norm_K-2_C-5_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-2_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-20_Col-0/full_eval,32,6,3,1,normalized,2.0,5.0,20.0,0.0,False,0.0
95,S-norm_K-2_C-5_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-2_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-2_C-5_W-20_Col-15/full_eval,32,6,3,1,normalized,2.0,5.0,20.0,15.0,False,0.0
96,S-norm_K-4_C-0_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-0_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-10_Col-0/full_eval,32,6,3,1,normalized,4.0,0.0,10.0,0.0,False,0.0
97,S-norm_K-4_C-0_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-0_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-10_Col-15/full_eval,32,6,3,1,normalized,4.0,0.0,10.0,15.0,False,0.0
98,S-norm_K-4_C-0_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-0_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-20_Col-0/full_eval,32,6,3,1,normalized,4.0,0.0,20.0,0.0,False,0.0
99,S-norm_K-4_C-0_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-0_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-0_W-20_Col-15/full_eval,32,6,3,1,normalized,4.0,0.0,20.0,15.0,False,0.0
100,S-norm_K-4_C-2_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-2_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-10_Col-0/full_eval,32,6,3,1,normalized,4.0,2.0,10.0,0.0,False,0.0
101,S-norm_K-4_C-2_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-2_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-10_Col-15/full_eval,32,6,3,1,normalized,4.0,2.0,10.0,15.0,False,0.0
102,S-norm_K-4_C-2_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-2_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-20_Col-0/full_eval,32,6,3,1,normalized,4.0,2.0,20.0,0.0,False,0.0
103,S-norm_K-4_C-2_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-2_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-2_W-20_Col-15/full_eval,32,6,3,1,normalized,4.0,2.0,20.0,15.0,False,0.0
104,S-norm_K-4_C-5_W-10_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-5_W-10_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-10_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-10_Col-0/full_eval,32,6,3,1,normalized,4.0,5.0,10.0,0.0,False,0.0
105,S-norm_K-4_C-5_W-10_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-5_W-10_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-10_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-10_Col-15/full_eval,32,6,3,1,normalized,4.0,5.0,10.0,15.0,False,0.0
106,S-norm_K-4_C-5_W-20_Col-0,screening_grid_3epoch_108/S-norm_K-4_C-5_W-20_Col-0.json,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-20_Col-0,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-20_Col-0/full_eval,32,6,3,1,normalized,4.0,5.0,20.0,0.0,False,0.0
107,S-norm_K-4_C-5_W-20_Col-15,screening_grid_3epoch_108/S-norm_K-4_C-5_W-20_Col-15.json,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-20_Col-15,./exp/grid_search_3epoch/S-norm_K-4_C-5_W-20_Col-15/full_eval,32,6,3,1,normalized,4.0,5.0,20.0,15.0,False,0.0
